name,name,borough,rating,review_count,categories_list,GRADE
ANTHONY'S PLACE,Anthony's Place,Brooklyn,4.1,282,Italian,A
ANTICA TRATTORIA,Antica Trattoria,Queens,4.1,180,Italian,A
ANTIDOTE,Antidote,Brooklyn,4.6,560,Cocktail Bars; Dim Sum; Szechuan,
ANTIQUE GARAGE TRIBECA,Antique Garage Tribeca,Manhattan,4.1,121,Mediterranean; Turkish,A
ANTOJITOS BK,Antojitos BK,Brooklyn,4.3,35,Comfort Food; Caribbean,A
ANTOJITOS DEL PATRON MEXICAN SNACKS,Antojitos Del Patron Mexican Snacks,Brooklyn,4.0,42,Mexican,A
ANTONIO'S TRATTORIA,Antonio's Trattoria,Bronx,4.5,1146,Italian; Pizza; Desserts,A
ANYTHING,Anything,Brooklyn,4.7,3,Pizza; Seafood; Cocktail Bars,A
AOC EAST,AOC East,Manhattan,3.9,237,Wine Bars; French; Seafood,A
AOYU SUSHI,Aoyu Sushi,Bronx,4.4,347,Japanese; Sushi Bars; Salad,
APERIBAR,AperiBar,Manhattan,4.5,65,Italian; Bars,A
APNA PIND,Apna Pind,Queens,3.6,18,Indian,A
APPETHAIZE,AppeThaize,Manhattan,4.3,52,Thai,A
AQUA,Aqua,Manhattan,4.0,68,Japanese; Italian; Bars,A
AQUA BOIL,Aqua Boil,Manhattan,4.4,785,Seafood; Cajun/Creole; Comfort Food,A
ARANCINI BROS,Arancini Bros,Manhattan,4.0,3,Italian,A
ARCO CAFE,Arco Cafe,Manhattan,4.4,389,Sardinian; Pasta Shops,A
ARDEN,Arden,Brooklyn,4.6,116,New American,
ARIARI,ARIARI,Manhattan,4.5,354,Korean; Tapas/Small Plates; Gastropubs,A
ARIRANG HIBACHI STEAKHOUSE,Arirang Hibachi Steakhouse,Brooklyn,3.9,316,Sushi Bars; Steakhouses; Japanese,A
ARMONDO'S ITALIAN RESTAURANT,Armondo's Italian Restaurant,Queens,4.3,95,Italian,A
AROMI,Aromi,Brooklyn,4.6,81,Italian; Pizza,A
AROQA,aRoqa,Manhattan,4.1,449,Indian; Bars; Tapas/Small Plates,C
AROY DEE THAI KITCHEN,Aroy Dee Thai Kitchen,Manhattan,3.6,594,Thai,A
ART OF GRILL,Art Of Grill,Queens,3.9,20,Kosher; Mediterranean; Steakhouses,A
ARTHUR & SONS NY ITALIAN,Arthur & Sons NY Italian,Manhattan,3.9,480,Italian,A
ARTIE'S,Artie's,Bronx,4.4,936,Pizza; Italian; Sandwiches,A
ASHBOX,Ashbox,Brooklyn,4.4,158,Coffee & Tea; Japanese; Sandwiches,A
ASHOKA GRILL,Ashoka Grill,Brooklyn,4.0,243,Indian; Halal,B
ASIA HARBOR,Asia Harbor,Brooklyn,3.9,157,Chinese; Asian Fusion; Sushi Bars,A
ASIAN CAFE,Asian Cafe,Queens,3.6,38,Chinese; Thai,A
ASTORIA PIZZA FACTORY,Astoria Pizza Factory,Queens,4.2,224,Pizza; Italian; Chicken Wings,A
ASTORIA TACO FACTORY,Astoria Taco Factory,Queens,4.1,117,Tacos,A
ASUKA SUSHI,Asuka Sushi,Manhattan,4.1,1149,Japanese; Thai; Cocktail Bars,A
AT NINE RESTAURANT & BAR,At Nine Restaurant & Bar,Manhattan,3.9,668,Thai; Bars,A
ATELIER DECEMBER,Atelier December,Brooklyn,4.8,12,Coffee & Tea; Italian,
ATHENA MEDITERRANEAN CUISINE,Athena Mediterranean Cuisine,Brooklyn,4.4,461,Mediterranean; Greek,A
ATITHI INDIAN CUISINE,Atithi Indian Cuisine,Brooklyn,4.7,258,Indian,A
ATLA,Atla,Manhattan,3.4,414,Mexican; Breakfast & Brunch; Cocktail Bars,A
ATLAS KITCHEN,Atlas Kitchen,Manhattan,3.8,221,Chinese,A
ATOBOY,Atoboy,Manhattan,4.3,710,Korean; Tapas/Small Plates; Asian Fusion,A
ATOMIX,Atomix,Manhattan,4.5,183,Korean,A
ATTI,Atti,Brooklyn,4.2,118,Korean; Barbeque; Desserts,A
AUDACE,Audace,Manhattan,5.0,1,Italian,
AUNT BUTCHIES OF BROOKLYN,Aunt Butchies of Brooklyn,Staten Island,3.8,208,Italian; Cocktail Bars; Venues & Event Spaces,A
AUNT JAKE'S,Aunt Jake's,Manhattan,4.4,332,Italian; Wine Bars; Cocktail Bars,A
AURORA,Aurora,Brooklyn,4.0,899,Italian; Comfort Food,A
AVENUE GYRO,Avenue Gyro,Bronx,4.3,27,Mediterranean,A
AVES,Aves,Manhattan,3.8,4,Chinese; Soup; Salad,
AVLEE GREEK KITCHEN,Avlee Greek Kitchen,Brooklyn,4.3,322,Greek; Mediterranean; Desserts,
AVLI THE LITTLE GREEK TAVERN,Avli The Little Greek Tavern,Queens,4.1,1029,Greek; Mediterranean; Wraps,A
AVO TACO,AVO TACO,Queens,3.9,170,Tacos; Cocktail Bars,
AVOCADO SUSHI,Avocado sushi,Staten Island,3.5,46,Sushi Bars; Japanese; Thai,A
AWANG KITCHEN,Awang Kitchen,Queens,4.2,224,Indonesian,B
AWESUM DIMSUM,Awesum Dimsum,Manhattan,4.5,391,Dim Sum; Cantonese,A
AYY CHIHUAHUA,Ayy Chihuahua,Queens,4.5,65,Mexican; Cocktail Bars,A
AZALEA,Azalea,Manhattan,3.9,400,Italian; Wine Bars; Cocktail Bars,A
Avenida,Avenida,Manhattan,3.9,23,Mexican; Salad; Cocktail Bars,A
B'KLYN BURRO,B'klyn Burro,Brooklyn,3.9,168,Mexican,A
B2J TASTY POT,B2J Tasty Pot,Queens,4.8,108,Comfort Food; Szechuan,C
BAAR BAAR,Baar Baar,Manhattan,3.9,1332,Gastropubs; Indian; Cocktail Bars,C
BABY'S BUNS & BUCKETS,Baby's Buns & Buckets,Brooklyn,4.8,65,Thai; Fish & Chips; Fast Food,A
BAD ROMAN,Bad Roman,Manhattan,4.0,768,New American; Italian,A
BAHARI ESTIATORIO,Bahari Estiatorio,Queens,4.1,703,Greek,A
BAHT,Baht,Queens,4.6,24,Thai,
BAJEKO SEKUWA,Bajeko Sekuwa,Queens,4.3,151,Himalayan/Nepalese,A
BAKERS CAFE,Bakers Cafe,Queens,4.8,10,Coffee & Tea; Breakfast & Brunch; Juice Bars & Smoothies,A
BAKERY BY TEXTBOOK,Bakery by Textbook,Brooklyn,5.0,5,Bakeries; Coffee & Tea; Mediterranean,A
BAKU NIGHTS,Baku Nights,Brooklyn,4.5,2,Mediterranean; Modern European,A
BALABOOSTA,Balaboosta,Manhattan,4.2,121,Mediterranean; Middle Eastern,A
BALKAN GRIND,Balkan Grind,Brooklyn,4.7,3,Coffee & Tea; Turkish; Modern European,
BALZEM,Balzem,Manhattan,4.0,581,Mediterranean; Tapas/Small Plates; Wine Bars,A
BAMBOO SEAFOOD RESTAURANT,Bamboo Seafood Restaurant,Brooklyn,5.0,2,Cantonese; Seafood,A
BAMBOO YA,Bamboo Ya,Queens,3.9,251,Sushi Bars; Japanese; Salad,C
BANGIA,Bangia,Manhattan,4.0,577,Korean; Gastropubs,A
BANGKLYN EAST HARLEM,Bangklyn East Harlem,Manhattan,4.5,168,Thai; Comfort Food; Asian Fusion,A
BANGKOK 2 THAI,Bangkok 2 Thai,Manhattan,4.0,244,Thai,A
BANGKOK AVENUE,Bangkok Avenue,Queens,4.5,275,Thai; Noodles; Seafood,A
BANGKOK BAR,Bangkok BAR,Brooklyn,4.4,67,Thai; Noodles; Bars,A
BANGKOK DEGREE,Bangkok Degree,Brooklyn,4.4,189,Thai,A
BANGKOK SUPPER CLUB,Bangkok Supper Club,Manhattan,4.4,227,Thai; Cocktail Bars; Seafood,A
BANGLA GARDEN RESTAURANT,Bangla Garden Restaurant,Bronx,4.7,13,Bangladeshi,A
BAODEGA,Baodega,Manhattan,4.1,369,Dim Sum; Noodles,A
BAR BRUNO,Bar Bruno,Brooklyn,4.5,30,Bars; Mexican,A
BAR CAMILLO,Bar Camillo,Brooklyn,4.2,61,"Italian; Pizza; Beer, Wine & Spirits",A
BAR GOTO NIBAN,Bar Goto Niban,Brooklyn,4.3,44,Cocktail Bars; Tapas/Small Plates,A
BAR MADONNA,Bar Madonna,Brooklyn,4.6,25,Cocktail Bars; Italian; Salad,A
BAR MARIO,Bar Mario,Brooklyn,4.7,47,Italian; Bars,A
BAR MOGA,Bar Moga,Manhattan,4.0,362,Cocktail Bars; Japanese; Salad,A
BAR SAN MIGUEL,Bar San Miguel,Brooklyn,4.3,217,Mexican; Cocktail Bars; Venues & Event Spaces,A
BAR TOTO,Bar Toto,Brooklyn,3.6,310,Italian; Bars,A
BAR VERDE,Bar Verde,Manhattan,4.4,481,Mexican; Vegan; Gluten-Free,A
BARANO,Barano,Brooklyn,4.4,358,Pizza; Italian; Desserts,A
BARBACO TIO,Barbaco Tio,Brooklyn,4.5,2,Tacos; Desserts; Soup,
BARBOUNIA,Barbounia,Manhattan,3.7,1542,Greek; Mediterranean; Middle Eastern,A
BARELY DISFIGURED,Barely Disfigured,Brooklyn,4.5,165,Cocktail Bars; Tapas Bars,A
BARN JOO,Barn Joo,Manhattan,4.0,2017,Korean; Cocktail Bars; Tapas/Small Plates,A
BARN JOO 35,Barn Joo 35,Manhattan,4.2,2514,Korean; Gastropubs; Tapas/Small Plates,A
BAROLO EAST,Barolo East,Manhattan,4.5,317,Italian,A
BARRIO BX,Barrio BX,Bronx,4.1,172,Puerto Rican; Cocktail Bars,A
BARRIO CHINO,Barrio Chino,Manhattan,3.9,1204,Mexican; Bars,A
BARRIO TAQUERIA,Barrio Taqueria,Queens,3.9,187,Tacos,
