id,name,rating,review_count,categories_list,BOROUGH,SCORE,GRADE
GEDLTsHS5nEpHQ9NJ57uBA,mike's unicorn diner,3.0,219,American; Diners; Greek,Staten Island,13.0,A
tFjn-akT7Bjp1mlmllZnTA,chinar on the island,3.8,77,Mediterranean; Bars; Venues & Event Spaces,Staten Island,13.0,A
Tvxh4vWev1ak-WztOzus-g,lebanese eatery,4.3,69,Middle Eastern; Mediterranean; Halal,Staten Island,13.0,A
X00brrDxPaihWiUqgr6ybQ,eat offbeat,0.0,0,Food Delivery Services; Mediterranean,Manhattan,13.0,A
raqwXUBlnc0e8c7CYmxEJQ,scarpetta,4.1,2408,Italian; Bars; Desserts,Manhattan,12.0,A
NlmP5x_Ykznd55Dc85ChUg,nittis,4.3,450,Italian; Cocktail Bars; Breakfast & Brunch,Manhattan,12.0,A
pk89jzL1RsE9U0thf_z6tw,locanda verde,3.9,1928,Italian; Cocktail Bars; Breakfast & Brunch,Manhattan,12.0,A
rp8S7scxOkVVeG7dNneMGQ,l'artusi,4.3,2597,Italian; Cocktail Bars,Manhattan,12.0,A
26emJlm1YMFyOCezfgVk4g,da raffaele,4.6,251,Italian,Manhattan,12.0,A
Z-QmxQZAJEy5GXqA82Bemw,da toscano,4.6,208,Italian,Manhattan,12.0,A
GjEE8vvjqb7eeHA3BGNxAw,barolo east,4.5,317,Italian,Manhattan,12.0,A
